Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57773248,Notes on an Execution,Danya Kukafka,"Kukafka, Danya",,"=""0063052733""","=""9780063052734""",0,4.14,William Morrow,Hardcover,306,2022,2022,,2022/10/08,to-read,to-read (#250),to-read,,,,0,0
55825321,The Membranes,Chi Ta-wei,"Ta-wei, Chi",Ari Larissa Heinrich,"=""0231195710""","=""9780231195713""",0,4.12,Columbia University Press,Paperback,168,2021,1995,,2022/10/08,to-read,to-read (#249),to-read,,,,0,0
57803151,You Truly Assumed,Laila Sabreen,"Sabreen, Laila",,"=""1335418652""","=""9781335418654""",0,3.84,Inkyard Press,Hardcover,352,2022,2022,,2022/10/08,to-read,to-read (#248),to-read,,,,0,0
51188678,A Girl Is a Body of Water,Jennifer Nansubuga Makumbi,"Makumbi, Jennifer Nansubuga",,"=""1951142047""","=""9781951142049""",0,4.16,Tin House Books,Hardcover,560,2020,2020,,2022/10/08,to-read,to-read (#247),to-read,,,,0,0
55311334,The Beautiful Ones,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""""","=""""",0,3.89,,Kindle Edition,320,2021,2017,,2022/10/08,to-read,to-read (#246),to-read,,,,0,0
27071490,Homegoing,Yaa Gyasi,"Gyasi, Yaa",,"=""""","=""""",0,4.47,Alfred A. Knopf,Hardcover,305,2016,2016,,2022/10/08,to-read,to-read (#245),to-read,,,,0,0
36952571,The Weight of the Stars,K. Ancrum,"Ancrum, K.",,"=""1250101638""","=""9781250101631""",0,3.98,Imprint,Hardcover,384,2019,2019,,2022/10/08,to-read,to-read (#244),to-read,,,,0,0
52719723,"The Sea Witch (Wicked Villains, #5)",Katee Robert,"Robert, Katee",,"=""""","=""9781951329020""",0,3.50,Trinkets and Tales LLC,ebook,275,2020,2020,,2022/10/08,to-read,to-read (#243),to-read,,,,0,0
43301353,The Space Between Worlds,Micaiah Johnson,"Johnson, Micaiah",,"=""""","=""""",0,3.97,Crown,,336,2020,2020,,2022/10/08,to-read,to-read (#242),to-read,,,,0,0
51152447,Caste: The Origins of Our Discontents,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0593230256""","=""9780593230251""",0,4.55,Random House,Hardcover,496,2020,2020,,2022/10/08,to-read,to-read (#241),to-read,,,,0,0
42519313,Nothing to See Here,Kevin    Wilson,"Wilson, Kevin",,"=""0062913484""","=""9780062913487""",0,3.96,Ecco,ebook,288,2019,2019,,2022/10/08,to-read,to-read (#240),to-read,,,,0,0
60556912,The Housemaid,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.38,,Kindle Edition,332,2022,2022,,2022/10/08,to-read,to-read (#239),to-read,,,,0,0
36513009,When the Lights Go Out,Mary Kubica,"Kubica, Mary",,"=""""","=""""",0,3.19,Park Row,Kindle Edition,336,2018,2018,,2022/10/08,to-read,to-read (#238),to-read,,,,0,0
36461454,I Know You Know,Gilly Macmillan,"Macmillan, Gilly",,"=""0062698613""","=""9780062698612""",0,3.39,William Morrow Paperbacks,ebook,384,2018,2018,,2022/10/08,to-read,to-read (#237),to-read,,,,0,0
